app_id;app_name;developer_id;category;release_date
1;PixelDash;10;Entertainment;2024-09-07
2;ChatWave;18;Games;2024-03-13
3;TaskFlow;19;Entertainment;2024-05-27
4;CoinTrack;3;Productivity;2024-04-19
5;LearnHub;27;Games;2024-05-19
6;StreamGo;13;Productivity;2024-09-15
7;FitPulse;20;Health;2024-03-02
8;ShopEase;20;Social;2025-01-01
9;PhotoLab;25;Education;2024-11-23
10;MapNow;28;Entertainment;2024-11-25
11;MusicBeat;2;Education;2024-06-26
12;NewsBird;3;Shopping;2024-03-28
13;FoodFast;12;Shopping;2024-04-30
14;TravelPal;7;Education;2024-02-25
15;NoteBoxx;4;Entertainment;2023-12-17
16;BudgetPro;25;Finance;2024-01-14
17;PlayZone;15;Games;2024-08-01
18;SkyMail;29;Productivity;2024-03-04
19;FocusTimer;11;Shopping;2024-12-07
20;QuizMaster;28;Education;2024-12-29
21;MoneyJar;11;Productivity;2024-12-25
22;DriveSafe;28;Social;2024-08-18
23;YogaMind;22;Productivity;2024-03-12
24;BookBee;24;Games;2024-07-20
25;VoiceNote;13;Social;2023-11-30
26;CryptoWatch;10;Games;2024-11-13
27;HomeFix;28;Social;2024-05-16
28;PetCare;15;Games;2024-01-19
29;WeatherNow;17;Education;2023-12-09
30;JobSeek;19;Education;2024-10-20
31;LangoLearn;29;Finance;2024-05-10
32;MeetUpp;7;Finance;2024-04-22
33;SnapEdit;9;Entertainment;2024-12-27
34;GameVerse;15;Social;2024-04-15
35;CloudDrop;5;Productivity;2024-04-16
36;FitRun;4;Games;2024-10-11
37;ShopSmart;18;Social;2024-03-12
38;ChefBook;18;Entertainment;2024-09-04
39;ZenBreath;11;Education;2024-02-08
40;TrackIt;23;Education;2024-09-16
41;PulseFit;8;Productivity;2024-01-03
42;InkNote;10;Entertainment;2024-08-30
43;WavePlay;15;Games;2024-02-02
44;BrightMind;1;Shopping;2024-11-07
45;QuickCart;2;Social;2024-06-11
46;TimeBox;2;Social;2024-07-03
47;SafeVault;13;Productivity;2024-11-22
48;SkyChat;20;Shopping;2024-10-08
49;MindMap;12;Education;2024-05-16
50;GoGreen;27;Finance;2024-11-27
51;CityGuide;25;Social;2024-12-18
52;PixelPaint;25;Shopping;2024-09-13
53;PixelDash53;5;Social;2024-11-19
54;ChatWave54;15;Social;2024-07-18
55;TaskFlow55;10;Shopping;2024-07-25
56;CoinTrack56;8;Finance;2024-02-09
57;LearnHub57;28;Education;2024-06-01
58;StreamGo58;13;Productivity;2024-11-20
59;FitPulse59;30;Entertainment;2024-05-12
60;ShopEase60;15;Shopping;2023-12-13
61;PhotoLab61;3;Shopping;2024-01-24
62;MapNow62;12;Shopping;2024-07-21
63;MusicBeat63;28;Productivity;2024-04-20
64;NewsBird64;25;Entertainment;2024-10-02
65;FoodFast65;19;Productivity;2024-08-14
66;TravelPal66;4;Health;2024-11-27
67;NoteBoxx67;26;Social;2024-05-12
68;BudgetPro68;18;Social;2024-04-30
69;PlayZone69;18;Shopping;2024-06-20
70;SkyMail70;19;Health;2024-03-29
71;FocusTimer71;20;Finance;2024-09-03
72;QuizMaster72;6;Shopping;2024-06-11
73;MoneyJar73;3;Entertainment;2024-03-13
74;DriveSafe74;27;Health;2024-07-07
75;YogaMind75;19;Entertainment;2024-09-01
76;BookBee76;23;Finance;2024-02-24
77;VoiceNote77;22;Social;2024-12-10
78;CryptoWatch78;30;Shopping;2024-01-25
79;HomeFix79;19;Shopping;2024-05-12
80;PetCare80;18;Social;2024-07-12
81;WeatherNow81;6;Education;2024-06-22
82;JobSeek82;3;Social;2024-11-12
83;LangoLearn83;27;Health;2024-05-13
84;MeetUpp84;16;Games;2024-01-13
85;SnapEdit85;7;Productivity;2024-09-20
86;GameVerse86;29;Games;2024-12-19
87;CloudDrop87;5;Productivity;2024-07-16
88;FitRun88;18;Education;2024-06-14
89;ShopSmart89;20;Shopping;2024-03-07
90;ChefBook90;7;Entertainment;2024-04-29
91;ZenBreath91;19;Education;2024-07-07
92;TrackIt92;23;Entertainment;2024-01-12
93;PulseFit93;19;Games;2024-10-06
94;InkNote94;17;Health;2024-02-01
95;WavePlay95;28;Education;2023-12-29
96;BrightMind96;12;Games;2023-11-28
97;QuickCart97;23;Entertainment;2024-01-23
98;TimeBox98;28;Education;2023-12-13
99;SafeVault99;8;Health;2024-11-21
100;SkyChat100;19;Health;2024-10-13
