click_id;search_id;user_id;app_id;click_date
1;2;782;10;2025-05-22
2;5;788;84;2025-04-18
3;8;147;37;2025-02-06
4;9;1478;30;2025-06-19
5;11;282;47;2025-04-29
6;12;1831;16;2025-04-21
7;14;1044;66;2025-05-22
8;16;728;76;2025-02-17
9;18;1184;90;2025-03-02
10;20;842;75;2025-05-30
11;21;752;9;2025-01-12
12;22;1164;57;2025-07-01
13;25;1496;79;2025-03-15
14;26;953;45;2025-01-22
15;27;1072;31;2025-01-24
16;30;1298;79;2025-05-30
17;31;640;90;2025-01-15
18;32;1851;70;2025-05-18
19;33;1595;49;2025-05-01
20;34;930;32;2025-05-03
21;39;1489;74;2025-03-08
22;40;126;38;2025-05-31
23;41;347;7;2025-01-16
24;42;1345;12;2025-06-09
25;43;56;55;2025-05-05
26;44;169;99;2025-05-11
27;48;1519;47;2025-06-06
28;50;1350;38;2025-04-05
29;55;1220;37;2025-05-09
30;57;488;97;2025-06-15
31;62;817;71;2025-03-21
32;65;538;69;2025-05-16
33;66;1783;50;2025-01-06
34;67;592;56;2025-04-10
35;68;1390;22;2025-05-16
36;69;1399;49;2025-01-26
37;72;1881;11;2025-03-29
38;74;523;8;2025-04-11
39;76;1206;70;2025-05-16
40;77;692;52;2025-03-24
41;81;213;86;2025-04-01
42;82;450;41;2025-03-06
43;84;1269;35;2025-01-17
44;85;1923;9;2025-06-20
45;87;1307;38;2025-02-01
46;90;1836;73;2025-06-30
47;91;378;40;2025-03-17
48;93;929;90;2025-04-21
49;95;332;29;2025-03-12
50;96;1592;45;2025-04-10
51;97;796;42;2025-01-16
52;100;1902;25;2025-06-08
53;103;1108;49;2025-02-27
54;104;1258;44;2025-04-24
55;109;1338;92;2025-01-11
56;110;1362;28;2025-03-12
57;111;311;50;2025-04-12
58;114;894;86;2025-01-18
59;118;683;79;2025-04-15
60;120;1095;72;2025-01-22
61;124;1354;1;2025-03-20
62;132;631;40;2025-05-19
63;134;76;19;2025-01-15
64;135;692;8;2025-04-15
65;136;243;94;2025-06-19
66;139;1518;25;2025-03-03
67;140;1895;14;2025-01-12
68;142;1340;79;2025-05-03
69;143;1858;45;2025-01-13
70;149;1019;27;2025-06-07
71;150;452;36;2025-02-21
72;152;824;63;2025-01-31
73;154;282;20;2025-02-26
74;155;1566;77;2025-06-02
75;157;248;46;2025-02-06
76;158;1552;28;2025-02-14
77;159;1427;8;2025-05-23
78;161;1896;84;2025-01-13
79;162;274;90;2025-06-11
80;164;33;14;2025-01-22
81;165;14;56;2025-02-17
82;167;1335;22;2025-03-15
83;168;853;21;2025-06-27
84;170;1311;47;2025-05-16
85;172;1922;23;2025-06-08
86;174;369;51;2025-06-07
87;175;1947;9;2025-06-12
88;180;742;94;2025-05-12
89;181;450;39;2025-06-10
90;183;109;27;2025-01-30
