search_id;user_id;search_query;search_date
1;652;language learning;2025-04-14
2;782;video editor;2025-05-20
3;433;fitness tracker;2025-05-02
4;285;chat app;2025-05-23
5;788;vpn;2025-04-17
6;316;crypto tracker;2025-06-21
7;258;music player;2025-01-03
8;147;free games;2025-02-06
9;1478;job search;2025-06-18
10;895;music player;2025-01-22
11;282;video editor;2025-04-27
12;1831;puzzle games;2025-04-19
13;1277;fitness tracker;2025-04-27
14;1044;video editor;2025-05-22
15;1680;meditation app;2025-04-09
16;728;weather app;2025-02-17
17;870;puzzle games;2025-01-02
18;1184;job search;2025-03-02
19;1459;task manager;2025-03-10
20;842;grocery list;2025-05-28
21;752;budget app;2025-01-10
22;1164;job search;2025-06-30
23;755;learn english;2025-05-29
24;987;photo editor;2025-02-06
25;1496;task manager;2025-03-13
26;953;task manager;2025-01-21
27;1072;puzzle games;2025-01-23
28;503;job search;2025-06-11
29;1519;photo editor;2025-06-25
30;1298;grocery list;2025-05-29
31;640;puzzle games;2025-01-14
32;1851;recipe app;2025-05-17
33;1595;free games;2025-05-01
34;930;task manager;2025-05-01
35;1176;recipe app;2025-04-18
36;723;crypto tracker;2025-03-16
37;344;budget app;2025-06-27
38;1891;puzzle games;2025-03-19
39;1489;travel planner;2025-03-08
40;126;job search;2025-05-29
41;347;travel planner;2025-01-14
42;1345;crypto tracker;2025-06-09
43;56;crypto tracker;2025-05-05
44;169;music player;2025-05-10
45;158;note taking;2025-03-06
46;272;puzzle games;2025-03-13
47;564;note taking;2025-01-04
48;1519;learn english;2025-06-04
49;358;travel planner;2025-02-08
50;1350;meditation app;2025-04-05
51;1655;fitness tracker;2025-03-08
52;1603;weather app;2025-05-05
53;371;task manager;2025-01-09
54;703;photo editor;2025-02-07
55;1220;music player;2025-05-07
56;1542;video editor;2025-04-09
57;488;meditation app;2025-06-13
58;343;chat app;2025-05-28
59;1504;vpn;2025-01-14
60;1316;note taking;2025-01-30
61;108;fitness tracker;2025-04-29
62;817;job search;2025-03-19
63;976;grocery list;2025-03-01
64;778;language learning;2025-05-02
65;538;music player;2025-05-16
66;1783;video editor;2025-01-04
67;592;meditation app;2025-04-08
68;1390;recipe app;2025-05-16
69;1399;budget app;2025-01-25
70;1880;grocery list;2025-06-13
71;725;video editor;2025-06-06
72;1881;note taking;2025-03-27
73;554;note taking;2025-01-26
74;523;travel planner;2025-04-11
75;945;weather app;2025-06-22
76;1206;chat app;2025-05-14
77;692;fitness tracker;2025-03-22
78;1122;free games;2025-06-22
79;18;photo editor;2025-01-04
80;843;learn english;2025-05-15
81;213;meditation app;2025-03-31
82;450;crypto tracker;2025-03-06
83;396;budget app;2025-01-07
84;1269;photo editor;2025-01-15
85;1923;puzzle games;2025-06-18
86;1831;chat app;2025-06-03
87;1307;learn english;2025-01-31
88;177;puzzle games;2025-02-03
89;770;travel planner;2025-02-17
90;1836;learn english;2025-06-28
91;378;note taking;2025-03-17
92;957;photo editor;2025-06-13
93;929;note taking;2025-04-20
94;1418;recipe app;2025-03-07
95;332;photo editor;2025-03-12
96;1592;budget app;2025-04-08
97;796;recipe app;2025-01-16
98;529;note taking;2025-02-15
99;903;photo editor;2025-05-06
100;1902;chat app;2025-06-06
101;805;fitness tracker;2025-06-15
102;1008;learn english;2025-02-06
103;1108;video editor;2025-02-25
104;1258;learn english;2025-04-24
105;1466;note taking;2025-01-27
106;72;photo editor;2025-01-19
107;1171;note taking;2025-04-25
108;39;job search;2025-02-08
109;1338;free games;2025-01-10
110;1362;language learning;2025-03-10
111;311;recipe app;2025-04-11
112;1177;free games;2025-05-12
113;1450;job search;2025-05-03
114;894;language learning;2025-01-18
115;1107;weather app;2025-01-01
116;788;job search;2025-02-01
117;1162;grocery list;2025-04-02
118;683;crypto tracker;2025-04-13
119;114;photo editor;2025-04-04
120;1095;recipe app;2025-01-21
121;1723;meditation app;2025-03-16
122;1327;chat app;2025-02-15
123;1136;budget app;2025-04-09
124;1354;chat app;2025-03-18
125;1426;language learning;2025-01-28
126;1292;vpn;2025-05-05
127;174;meditation app;2025-02-18
128;287;budget app;2025-02-19
129;52;travel planner;2025-03-03
130;1002;language learning;2025-01-17
131;1624;grocery list;2025-06-14
132;631;job search;2025-05-17
133;1977;meditation app;2025-01-05
134;76;recipe app;2025-01-15
135;692;budget app;2025-04-14
136;243;chat app;2025-06-17
137;1367;task manager;2025-04-28
138;1926;grocery list;2025-02-08
139;1518;travel planner;2025-03-01
140;1895;photo editor;2025-01-10
141;1507;music player;2025-05-06
142;1340;free games;2025-05-01
143;1858;puzzle games;2025-01-12
144;498;music player;2025-01-04
145;353;budget app;2025-03-20
146;1681;learn english;2025-04-27
147;1252;fitness tracker;2025-06-01
148;131;learn english;2025-01-30
149;1019;puzzle games;2025-06-07
150;452;photo editor;2025-02-21
151;873;recipe app;2025-06-23
152;824;recipe app;2025-01-31
153;1999;travel planner;2025-05-20
154;282;recipe app;2025-02-24
155;1566;budget app;2025-06-01
156;356;recipe app;2025-01-17
157;248;note taking;2025-02-06
158;1552;video editor;2025-02-13
159;1427;vpn;2025-05-22
160;338;meditation app;2025-03-04
161;1896;travel planner;2025-01-11
162;274;learn english;2025-06-11
163;1255;language learning;2025-02-10
164;33;job search;2025-01-21
165;14;free games;2025-02-15
166;1897;photo editor;2025-06-30
167;1335;travel planner;2025-03-14
168;853;job search;2025-06-27
169;260;chat app;2025-02-06
170;1311;note taking;2025-05-14
171;923;video editor;2025-03-03
172;1922;fitness tracker;2025-06-06
173;1417;budget app;2025-06-02
174;369;job search;2025-06-06
175;1947;photo editor;2025-06-10
176;1693;crypto tracker;2025-03-31
177;858;free games;2025-05-23
178;483;chat app;2025-01-31
179;1086;learn english;2025-06-08
180;742;grocery list;2025-05-10
181;450;meditation app;2025-06-10
182;1351;chat app;2025-03-12
183;109;chat app;2025-01-29
184;1632;music player;2025-06-25
185;1729;job search;2025-05-08
186;362;fitness tracker;2025-06-21
187;1890;budget app;2025-01-14
188;1321;vpn;2025-03-14
189;430;video editor;2025-03-06
190;685;puzzle games;2025-04-27
191;89;learn english;2025-01-14
192;1895;grocery list;2025-02-15
193;324;free games;2025-05-05
194;1055;learn english;2025-01-19
195;1834;weather app;2025-04-24
196;1214;travel planner;2025-03-25
197;859;chat app;2025-06-23
198;1840;recipe app;2025-02-28
199;1596;learn english;2025-03-25
200;467;learn english;2025-03-02
201;1511;video editor;2025-02-21
202;770;weather app;2025-01-19
203;965;travel planner;2025-05-05
204;112;video editor;2025-02-07
205;443;puzzle games;2025-04-27
206;365;language learning;2025-04-06
207;280;meditation app;2025-02-19
208;1295;vpn;2025-03-11
209;415;recipe app;2025-02-02
210;66;travel planner;2025-01-16
211;575;music player;2025-01-29
212;1745;meditation app;2025-04-28
213;857;fitness tracker;2025-03-29
214;451;crypto tracker;2025-06-04
215;322;puzzle games;2025-02-13
216;1184;grocery list;2025-02-28
217;178;video editor;2025-05-14
218;1002;chat app;2025-06-01
219;970;meditation app;2025-03-13
220;30;video editor;2025-03-05
221;508;recipe app;2025-04-22
222;1187;weather app;2025-06-01
223;1938;music player;2025-05-27
224;1840;free games;2025-04-17
225;91;budget app;2025-05-01
226;1503;task manager;2025-01-09
227;872;task manager;2025-04-11
228;982;learn english;2025-04-26
229;1015;weather app;2025-01-22
230;1144;free games;2025-06-27
231;1499;video editor;2025-02-25
232;272;vpn;2025-03-17
233;490;photo editor;2025-01-05
234;983;crypto tracker;2025-02-11
235;1441;meditation app;2025-05-27
236;1531;travel planner;2025-01-07
237;2000;meditation app;2025-04-29
238;1581;music player;2025-06-30
239;831;fitness tracker;2025-04-05
240;1284;meditation app;2025-06-30
241;1298;free games;2025-06-10
242;145;language learning;2025-06-26
243;682;task manager;2025-01-09
244;608;video editor;2025-03-11
245;1430;puzzle games;2025-05-19
246;1179;chat app;2025-06-25
247;166;puzzle games;2025-03-27
248;1507;budget app;2025-05-12
249;1937;vpn;2025-01-14
250;228;language learning;2025-04-04
251;954;puzzle games;2025-01-11
252;749;vpn;2025-02-14
253;1328;grocery list;2025-06-30
254;138;grocery list;2025-02-22
255;284;recipe app;2025-03-03
256;1106;learn english;2025-06-16
257;980;travel planner;2025-06-29
258;430;weather app;2025-03-24
259;723;note taking;2025-05-09
260;1394;video editor;2025-03-12
261;112;photo editor;2025-04-06
262;708;meditation app;2025-05-05
263;1027;task manager;2025-02-01
264;963;grocery list;2025-06-23
265;1691;grocery list;2025-03-16
266;926;puzzle games;2025-04-05
267;1639;photo editor;2025-02-18
268;1827;meditation app;2025-01-23
269;165;language learning;2025-02-15
270;591;photo editor;2025-01-28
271;338;note taking;2025-01-29
272;1428;music player;2025-05-08
273;309;chat app;2025-05-14
274;1950;free games;2025-03-17
275;854;grocery list;2025-02-03
276;971;vpn;2025-04-18
277;910;free games;2025-03-16
278;388;photo editor;2025-01-06
279;1786;weather app;2025-05-14
280;1321;recipe app;2025-04-16
281;1186;recipe app;2025-06-17
282;1324;recipe app;2025-05-05
283;1216;task manager;2025-05-21
284;912;meditation app;2025-03-19
285;1162;music player;2025-03-20
286;352;note taking;2025-02-28
287;992;vpn;2025-03-15
288;1577;budget app;2025-02-07
289;724;crypto tracker;2025-04-27
290;1959;fitness tracker;2025-06-08
291;1893;fitness tracker;2025-05-18
292;585;fitness tracker;2025-02-14
293;1719;music player;2025-02-11
294;488;learn english;2025-01-11
295;649;travel planner;2025-02-02
296;903;note taking;2025-04-05
297;378;chat app;2025-05-24
298;1449;budget app;2025-06-20
299;650;vpn;2025-02-07
300;764;meditation app;2025-05-19
301;1998;fitness tracker;2025-05-17
302;618;learn english;2025-01-07
303;829;job search;2025-02-07
304;1942;meditation app;2025-03-23
305;320;free games;2025-05-20
306;1999;task manager;2025-03-26
307;1326;crypto tracker;2025-05-02
308;1835;crypto tracker;2025-05-27
309;1366;music player;2025-05-25
310;1493;meditation app;2025-03-28
311;1412;learn english;2025-05-03
312;1844;budget app;2025-02-05
313;1389;grocery list;2025-01-30
314;631;free games;2025-04-13
315;1265;weather app;2025-04-25
316;732;photo editor;2025-03-25
317;113;puzzle games;2025-06-14
318;400;travel planner;2025-05-15
319;455;note taking;2025-02-20
320;47;photo editor;2025-05-18
321;1740;meditation app;2025-06-23
322;1376;photo editor;2025-05-12
323;808;chat app;2025-05-06
324;651;puzzle games;2025-06-04
325;1048;budget app;2025-06-20
326;740;language learning;2025-02-07
327;1467;video editor;2025-04-05
328;791;vpn;2025-01-04
329;583;vpn;2025-03-31
330;631;meditation app;2025-05-24
331;180;chat app;2025-04-24
332;1519;video editor;2025-04-24
333;592;fitness tracker;2025-04-19
334;1493;video editor;2025-02-05
335;1712;travel planner;2025-06-03
336;177;music player;2025-02-23
337;622;job search;2025-05-15
338;687;photo editor;2025-06-01
339;1549;language learning;2025-01-23
340;14;video editor;2025-06-13
341;1873;note taking;2025-04-17
342;359;grocery list;2025-04-29
343;1455;travel planner;2025-02-05
344;409;fitness tracker;2025-04-08
345;593;grocery list;2025-05-06
346;87;crypto tracker;2025-05-30
347;623;job search;2025-05-24
348;1516;meditation app;2025-02-27
349;55;free games;2025-02-09
350;538;crypto tracker;2025-06-13
351;1709;job search;2025-02-01
352;1340;crypto tracker;2025-04-17
353;368;job search;2025-06-26
354;1321;weather app;2025-01-08
355;245;note taking;2025-05-07
356;1988;photo editor;2025-06-03
357;1527;vpn;2025-05-29
358;985;travel planner;2025-04-22
359;1779;note taking;2025-06-10
360;1405;job search;2025-06-27
361;1676;learn english;2025-04-06
362;1050;travel planner;2025-01-05
363;1732;note taking;2025-02-11
364;1192;budget app;2025-02-07
365;655;meditation app;2025-06-27
366;278;vpn;2025-02-11
367;109;note taking;2025-04-03
368;860;vpn;2025-01-13
369;594;crypto tracker;2025-05-16
370;1309;photo editor;2025-05-12
371;397;fitness tracker;2025-01-25
372;1227;fitness tracker;2025-05-20
373;661;recipe app;2025-06-25
374;1639;crypto tracker;2025-03-11
375;1404;vpn;2025-01-25
376;1095;travel planner;2025-04-01
377;1687;music player;2025-01-04
378;281;task manager;2025-03-14
379;764;job search;2025-04-16
380;697;fitness tracker;2025-01-27
381;447;music player;2025-05-09
382;453;chat app;2025-05-24
383;1257;task manager;2025-05-17
384;1460;grocery list;2025-06-29
385;1549;learn english;2025-04-17
386;944;photo editor;2025-01-30
387;1677;music player;2025-01-05
388;983;vpn;2025-03-21
389;1416;vpn;2025-02-05
390;1674;meditation app;2025-06-02
391;1072;recipe app;2025-02-14
392;1454;crypto tracker;2025-01-08
393;1525;learn english;2025-02-26
394;264;music player;2025-06-26
395;465;crypto tracker;2025-02-02
396;430;music player;2025-01-21
397;871;learn english;2025-01-20
398;39;job search;2025-04-21
399;88;chat app;2025-01-28
400;68;task manager;2025-06-01
401;122;job search;2025-01-31
402;1861;note taking;2025-01-12
403;136;crypto tracker;2025-06-20
404;22;learn english;2025-02-01
405;1885;puzzle games;2025-02-22
406;1204;chat app;2025-02-17
