user_id;username;country;device_type;signup_date
1;user1;Germany;Android;2025-03-12
2;user2;France;Android;2025-02-05
3;user3;Germany;Android;2025-06-01
4;user4;UAE;Android;2025-01-08
5;user5;Germany;Android;2025-03-01
6;user6;Italy;Android;2025-05-24
7;user7;France;iOS;2025-02-26
8;user8;Spain;iOS;2025-01-02
9;user9;USA;iOS;2025-03-29
10;user10;Azerbaijan;Android;2025-02-25
11;user11;UK;Android;2025-01-24
12;user12;UAE;Android;2025-04-02
13;user13;UK;iOS;2025-01-12
14;user14;Spain;Android;2025-04-07
15;user15;Germany;iOS;2025-06-10
16;user16;Canada;iOS;2025-05-28
17;user17;France;Android;2025-01-12
18;user18;France;iOS;2025-01-21
19;user19;France;Android;2025-04-08
20;user20;Azerbaijan;iOS;2025-06-12
21;user21;UK;Android;2025-04-05
22;user22;UK;Android;2025-06-21
23;user23;Azerbaijan;Android;2025-06-05
24;user24;USA;Android;2025-02-11
25;user25;Spain;iOS;2025-03-11
26;user26;Italy;Android;2025-06-25
27;user27;UK;Android;2025-02-28
28;user28;Turkey;iOS;2025-04-13
29;user29;Azerbaijan;Android;2025-02-24
30;user30;Canada;iOS;2025-02-24
31;user31;Spain;iOS;2025-06-14
32;user32;Spain;Android;2025-03-09
33;user33;USA;Android;2025-05-24
34;user34;Italy;iOS;2025-05-30
35;user35;UAE;iOS;2025-04-03
36;user36;France;Android;2025-05-11
37;user37;Spain;Android;2025-01-13
38;user38;Germany;Android;2025-06-10
39;user39;USA;iOS;2025-06-02
40;user40;Germany;iOS;2025-04-08
41;user41;Canada;iOS;2025-05-16
42;user42;Azerbaijan;Android;2025-06-24
43;user43;Germany;iOS;2025-06-14
44;user44;UK;Android;2025-03-17
45;user45;UAE;Android;2025-04-27
46;user46;Turkey;iOS;2025-05-09
47;user47;USA;Android;2025-06-10
48;user48;Azerbaijan;Android;2025-02-09
49;user49;UK;Android;2025-05-19
50;user50;Italy;Android;2025-06-03
51;user51;UK;iOS;2025-01-05
52;user52;Germany;iOS;2025-03-20
53;user53;France;Android;2025-03-03
54;user54;Canada;Android;2025-01-22
55;user55;Spain;Android;2025-05-17
56;user56;USA;Android;2025-06-18
57;user57;Spain;Android;2025-03-09
58;user58;Italy;iOS;2025-02-24
59;user59;Italy;Android;2025-03-21
60;user60;UAE;iOS;2025-04-23
61;user61;Italy;iOS;2025-01-31
62;user62;France;Android;2025-01-17
63;user63;UK;Android;2025-05-31
64;user64;Italy;Android;2025-05-31
65;user65;France;Android;2025-01-19
66;user66;Turkey;Android;2025-01-18
67;user67;Turkey;iOS;2025-01-19
68;user68;Italy;Android;2025-03-13
69;user69;Spain;Android;2025-05-19
70;user70;USA;iOS;2025-03-04
71;user71;Spain;iOS;2025-02-18
72;user72;Germany;Android;2025-06-18
73;user73;UAE;iOS;2025-04-19
74;user74;UAE;iOS;2025-01-14
75;user75;Germany;Android;2025-04-14
76;user76;UK;Android;2025-03-05
77;user77;France;Android;2025-05-18
78;user78;Spain;Android;2025-04-19
79;user79;USA;iOS;2025-04-29
80;user80;France;Android;2025-04-24
81;user81;Italy;Android;2025-01-13
82;user82;Italy;Android;2025-01-24
83;user83;France;Android;2025-04-15
84;user84;Spain;iOS;2025-02-24
85;user85;UAE;Android;2025-02-12
86;user86;UAE;Android;2025-04-10
87;user87;Azerbaijan;iOS;2025-03-15
88;user88;UAE;iOS;2025-02-09
89;user89;France;iOS;2025-02-25
90;user90;Turkey;Android;2025-03-22
91;user91;Turkey;Android;2025-05-30
92;user92;Spain;Android;2025-01-15
93;user93;Italy;Android;2025-02-17
94;user94;Germany;Android;2025-06-22
95;user95;France;iOS;2025-01-31
96;user96;Canada;Android;2025-05-29
97;user97;Canada;Android;2025-06-08
98;user98;Germany;iOS;2025-06-18
99;user99;Canada;iOS;2025-03-08
100;user100;France;iOS;2025-03-03
101;user101;Azerbaijan;iOS;2025-02-03
102;user102;Azerbaijan;iOS;2025-03-22
103;user103;Germany;Android;2025-04-28
104;user104;Canada;Android;2025-01-19
105;user105;Italy;Android;2025-05-10
106;user106;Azerbaijan;Android;2025-03-31
107;user107;Germany;Android;2025-04-05
108;user108;Azerbaijan;Android;2025-04-23
109;user109;Italy;iOS;2025-06-06
110;user110;Italy;Android;2025-06-20
111;user111;Italy;iOS;2025-06-19
112;user112;Germany;Android;2025-03-09
113;user113;Germany;Android;2025-05-22
114;user114;USA;iOS;2025-03-14
115;user115;Canada;Android;2025-03-29
116;user116;France;iOS;2025-05-10
117;user117;Spain;iOS;2025-01-14
118;user118;Germany;iOS;2025-03-12
119;user119;Turkey;Android;2025-03-27
120;user120;USA;iOS;2025-02-11
121;user121;Spain;iOS;2025-05-24
122;user122;Turkey;Android;2025-01-20
123;user123;USA;Android;2025-04-05
124;user124;Canada;Android;2025-04-21
125;user125;USA;Android;2025-03-20
126;user126;UK;Android;2025-04-02
127;user127;France;Android;2025-06-20
128;user128;Germany;iOS;2025-05-24
129;user129;UAE;Android;2025-03-02
130;user130;USA;Android;2025-04-16
131;user131;Turkey;Android;2025-03-27
132;user132;UAE;Android;2025-03-10
133;user133;USA;Android;2025-04-08
134;user134;Turkey;iOS;2025-02-26
135;user135;France;iOS;2025-03-31
136;user136;Azerbaijan;Android;2025-02-27
137;user137;Turkey;Android;2025-04-13
138;user138;UK;iOS;2025-01-18
139;user139;Azerbaijan;iOS;2025-06-14
140;user140;Italy;iOS;2025-06-23
141;user141;Italy;iOS;2025-01-08
142;user142;Germany;iOS;2025-02-15
143;user143;Canada;iOS;2025-01-10
144;user144;Germany;iOS;2025-03-30
145;user145;UK;iOS;2025-06-05
146;user146;Italy;Android;2025-04-09
147;user147;Canada;Android;2025-03-07
148;user148;Turkey;iOS;2025-01-01
149;user149;Italy;Android;2025-04-04
150;user150;UAE;Android;2025-06-20
151;user151;UK;iOS;2025-06-19
152;user152;Germany;iOS;2025-05-10
153;user153;Azerbaijan;iOS;2025-03-25
154;user154;UAE;iOS;2025-05-22
155;user155;USA;Android;2025-04-18
156;user156;UAE;Android;2025-06-07
157;user157;Canada;iOS;2025-04-14
158;user158;Italy;Android;2025-03-19
159;user159;Azerbaijan;Android;2025-04-21
160;user160;Canada;iOS;2025-04-30
161;user161;Spain;iOS;2025-06-22
162;user162;France;iOS;2025-02-13
163;user163;Germany;iOS;2025-05-12
164;user164;Canada;iOS;2025-01-24
165;user165;France;iOS;2025-02-27
166;user166;France;Android;2025-01-07
167;user167;Turkey;Android;2025-05-02
168;user168;Canada;Android;2025-04-27
169;user169;UAE;Android;2025-06-28
170;user170;UAE;iOS;2025-04-13
171;user171;France;Android;2025-06-17
172;user172;Turkey;Android;2025-04-19
173;user173;France;Android;2025-06-28
174;user174;Italy;iOS;2025-01-13
175;user175;Italy;Android;2025-02-01
176;user176;Spain;Android;2025-04-29
177;user177;Italy;iOS;2025-04-24
178;user178;Canada;iOS;2025-05-21
179;user179;Spain;Android;2025-05-02
180;user180;Spain;iOS;2025-03-05
181;user181;Azerbaijan;iOS;2025-06-10
182;user182;France;iOS;2025-04-23
183;user183;Germany;iOS;2025-03-02
184;user184;Azerbaijan;iOS;2025-03-23
185;user185;Italy;Android;2025-02-05
186;user186;USA;Android;2025-04-09
187;user187;USA;Android;2025-01-17
188;user188;UAE;iOS;2025-03-26
189;user189;Italy;iOS;2025-04-17
190;user190;Turkey;Android;2025-04-18
191;user191;UAE;Android;2025-05-28
192;user192;UAE;iOS;2025-01-02
193;user193;UK;iOS;2025-04-10
194;user194;UAE;Android;2025-05-05
195;user195;France;iOS;2025-04-22
196;user196;Spain;Android;2025-04-10
197;user197;UK;iOS;2025-02-12
198;user198;Spain;Android;2025-06-09
199;user199;Italy;Android;2025-04-11
200;user200;Canada;Android;2025-01-22
201;user201;UAE;Android;2025-04-29
202;user202;USA;Android;2025-03-08
203;user203;UAE;iOS;2025-02-24
204;user204;Spain;iOS;2025-03-28
205;user205;UAE;iOS;2025-04-18
206;user206;Azerbaijan;Android;2025-05-01
207;user207;Turkey;Android;2025-03-31
208;user208;France;Android;2025-06-16
209;user209;Turkey;Android;2025-03-05
210;user210;France;Android;2025-06-09
211;user211;USA;Android;2025-02-02
212;user212;Spain;Android;2025-05-25
213;user213;France;iOS;2025-06-29
214;user214;Azerbaijan;iOS;2025-02-12
215;user215;Canada;Android;2025-02-11
216;user216;Azerbaijan;Android;2025-05-29
217;user217;Turkey;iOS;2025-05-28
218;user218;UAE;iOS;2025-02-20
219;user219;Germany;Android;2025-01-27
220;user220;Azerbaijan;Android;2025-05-25
221;user221;Turkey;iOS;2025-05-17
222;user222;UAE;iOS;2025-01-18
223;user223;Italy;iOS;2025-01-04
224;user224;UAE;iOS;2025-01-28
225;user225;UAE;iOS;2025-06-12
