download_id;user_id;app_id;download_date
1;1478;30;2025-06-20
2;282;47;2025-04-30
3;1831;16;2025-04-22
4;1184;90;2025-03-03
5;842;75;2025-05-30
6;953;45;2025-01-23
7;640;90;2025-01-15
8;1851;70;2025-05-19
9;930;32;2025-05-03
10;213;86;2025-04-01
11;450;41;2025-03-07
12;1307;38;2025-02-01
13;332;29;2025-03-12
14;1108;49;2025-02-28
15;311;50;2025-04-12
16;894;86;2025-01-19
17;683;79;2025-04-16
18;1095;72;2025-01-23
19;1354;1;2025-03-20
20;76;19;2025-01-16
21;692;8;2025-04-16
22;243;94;2025-06-20
23;1518;25;2025-03-03
24;1858;45;2025-01-13
25;1019;27;2025-06-08
26;452;36;2025-02-22
27;282;20;2025-02-26
28;1896;84;2025-01-13
29;274;90;2025-06-11
30;14;56;2025-02-18
31;1922;23;2025-06-08
32;369;51;2025-06-08
33;1947;9;2025-06-12
34;450;39;2025-06-11
35;109;27;2025-01-31
36;1632;26;2025-06-26
37;685;55;2025-04-28
38;1596;60;2025-03-28
39;112;48;2025-02-10
40;365;18;2025-04-07
41;1295;22;2025-03-12
42;1745;100;2025-04-29
43;451;1;2025-06-07
44;982;90;2025-04-28
45;1499;64;2025-02-26
46;983;60;2025-02-13
47;1531;12;2025-01-08
48;682;81;2025-01-09
49;608;85;2025-03-12
50;971;91;2025-04-20
51;388;67;2025-01-06
52;1786;87;2025-05-16
53;912;12;2025-03-22
54;488;58;2025-01-12
55;764;4;2025-05-22
56;320;70;2025-05-22
57;732;85;2025-03-25
58;651;92;2025-06-04
59;180;34;2025-04-27
60;368;13;2025-06-28
61;281;15;2025-03-15
62;1460;38;2025-06-29
63;1549;98;2025-04-17
64;1525;64;2025-03-01
65;264;33;2025-06-26
66;465;8;2025-02-03
67;871;22;2025-01-21
68;1885;81;2025-02-23
69;722;37;2025-05-11
70;203;7;2025-01-06
71;1084;66;2025-02-20
72;1886;37;2025-05-04
73;1710;74;2025-04-09
74;869;90;2025-05-12
