transaction_id;user_id;app_id;revenue_amount;transaction_date
1;1478;30;32.85;2025-06-21
2;1184;90;18.84;2025-03-04
3;450;41;49.07;2025-03-08
4;1108;49;16.68;2025-03-02
5;1354;1;20.15;2025-03-20
6;76;19;10.2;2025-01-19
7;1922;23;23.35;2025-06-13
8;369;51;10.07;2025-06-09
9;450;39;47.34;2025-06-12
10;112;48;20.68;2025-02-15
11;1295;22;42.59;2025-03-13
12;682;81;38.46;2025-01-13
13;1786;87;22.66;2025-05-18
14;320;70;30.79;2025-05-25
15;651;92;27.33;2025-06-09
16;1460;38;3.28;2025-07-01
17;1549;98;20.7;2025-04-21
18;1885;81;5.85;2025-02-28
19;1084;66;43.61;2025-02-23
20;1886;37;9.69;2025-05-09
21;1710;74;28.97;2025-04-12
22;869;90;11.81;2025-05-14
23;955;35;33.24;2025-05-19
24;1519;17;43.71;2025-01-19
25;907;28;1.33;2025-01-14
26;276;20;33.33;2025-04-14
27;235;48;26.21;2025-02-17
28;1018;12;21.59;2025-06-25
29;1359;18;19.33;2025-03-27
30;1233;18;5.37;2025-01-20
31;1705;98;9.21;2025-04-12
32;447;80;37.62;2025-01-31
33;1118;65;39.48;2025-05-09
34;626;25;3.76;2025-05-29
35;1563;85;13.75;2025-06-07
36;29;77;21.72;2025-04-26
37;483;46;46.48;2025-04-30
38;1141;7;16.36;2025-01-18
39;994;46;41.31;2025-05-14
40;1685;98;30.56;2025-05-31
41;1196;18;27.34;2025-05-17
42;1072;8;44.26;2025-03-18
43;1611;73;39.0;2025-04-18
44;1738;48;12.37;2025-06-03
45;549;20;44.25;2025-05-08
46;828;73;48.53;2025-06-20
47;1197;55;16.35;2025-06-16
48;1349;10;41.67;2025-02-21
49;1164;35;28.33;2025-05-01
50;1139;37;28.14;2025-04-12
51;253;3;26.06;2025-04-10
52;759;42;20.13;2025-04-26
53;1888;45;33.53;2025-02-23
54;1448;44;26.08;2025-03-01
55;532;89;28.91;2025-03-02
56;97;26;37.38;2025-04-22
57;176;100;19.21;2025-01-09
58;756;17;42.56;2025-05-17
59;450;89;40.62;2025-06-17
60;1692;86;19.77;2025-04-09
61;90;83;10.48;2025-02-22
62;1806;23;26.35;2025-01-19
63;1563;8;1.82;2025-06-03
64;507;49;38.46;2025-06-17
65;75;56;28.08;2025-03-06
66;243;53;6.93;2025-04-06
67;674;27;40.9;2025-05-07
68;1923;66;24.16;2025-02-03
69;1229;49;28.17;2025-06-17
70;1290;48;14.29;2025-01-18
71;1679;82;40.09;2025-01-08
72;1364;9;30.79;2025-03-14
73;1658;79;3.06;2025-03-09
74;601;89;44.4;2025-04-14
75;1363;87;10.06;2025-01-18
76;1865;20;49.6;2025-06-22
77;597;78;41.79;2025-01-19
78;866;26;6.01;2025-04-05
79;24;81;5.21;2025-02-01
80;379;84;2.3;2025-07-04
81;1929;89;38.68;2025-03-22
82;1300;41;20.97;2025-01-21
83;1495;31;43.38;2025-01-30
84;1743;77;35.34;2025-03-17
85;11;15;39.42;2025-02-24
86;964;25;10.77;2025-04-06
87;287;36;10.17;2025-04-23
88;1487;42;28.26;2025-02-09
89;1903;66;32.32;2025-04-23
90;575;13;11.97;2025-04-18
91;1817;63;33.94;2025-02-09
92;531;69;26.64;2025-03-04
93;238;98;37.61;2025-06-23
94;712;85;29.13;2025-04-09
95;1564;15;16.75;2025-02-07
96;1116;100;31.81;2025-01-29
97;1835;28;4.8;2025-06-09
98;372;47;23.64;2025-02-12
99;1091;82;5.81;2025-03-02
100;179;68;15.17;2025-04-07
101;491;51;13.47;2025-02-14
102;745;25;45.93;2025-01-30
103;1563;79;36.15;2025-06-21
104;867;46;39.39;2025-03-12
105;881;30;17.19;2025-05-28
106;1642;61;37.88;2025-04-24
107;228;73;17.92;2025-06-07
108;1889;38;45.98;2025-03-08
109;343;69;33.51;2025-05-14
110;1947;9;10.3;2025-04-03
111;1841;26;49.38;2025-05-25
112;99;35;42.11;2025-01-25
113;758;13;39.89;2025-01-21
114;566;45;24.18;2025-06-08
115;135;48;30.72;2025-01-31
116;805;30;39.11;2025-02-27
117;1504;24;44.82;2025-05-12
118;1514;31;42.13;2025-07-01
119;391;57;39.56;2025-06-01
120;1363;3;14.92;2025-02-17
121;1911;52;19.67;2025-03-07
122;200;89;9.39;2025-05-29
123;140;31;9.81;2025-04-13
124;1452;95;43.57;2025-06-23
125;410;52;13.31;2025-03-11
126;1289;73;10.52;2025-02-26
127;1695;2;47.01;2025-05-12
128;462;8;1.97;2025-04-23
129;1401;17;2.4;2025-05-27
130;644;65;37.96;2025-06-10
131;1566;25;7.14;2025-02-06
132;950;12;46.26;2025-05-31
133;466;39;12.54;2025-02-09
134;1169;1;49.83;2025-06-28
135;1866;91;11.01;2025-03-31
136;1428;59;7.57;2025-03-04
137;1330;93;22.58;2025-04-14
138;1042;4;33.31;2025-03-20
139;566;46;44.47;2025-06-14
140;507;35;38.26;2025-02-02
141;549;21;30.44;2025-03-02
142;157;56;9.76;2025-05-18
143;659;54;10.1;2025-06-09
144;483;62;43.07;2025-05-06
145;80;3;9.42;2025-05-08
146;620;39;20.27;2025-02-02
147;247;14;48.07;2025-04-23
148;1711;89;26.97;2025-03-14
149;735;24;21.86;2025-02-13
150;692;67;35.04;2025-06-24
151;498;32;45.02;2025-04-11
152;330;60;15.14;2025-02-09
153;1406;55;26.94;2025-01-09
154;1261;97;31.42;2025-05-24
155;591;18;40.02;2025-05-22
156;1700;8;24.97;2025-05-05
157;1859;76;37.4;2025-04-14
158;666;2;23.45;2025-03-10
159;1769;16;40.08;2025-02-13
160;1025;31;37.85;2025-06-07
161;1218;61;20.92;2025-02-06
162;360;39;16.75;2025-04-11
163;1131;50;31.19;2025-01-27
164;441;61;36.01;2025-05-10
165;1475;52;10.69;2025-06-17
166;399;93;12.33;2025-06-19
167;1379;47;38.82;2025-01-28
168;1960;15;31.96;2025-05-07
169;1489;85;41.47;2025-03-26
170;66;7;24.43;2025-03-31
171;1176;8;35.9;2025-06-09
172;1582;89;32.21;2025-01-11
173;348;86;38.44;2025-02-01
174;699;67;32.28;2025-05-26
175;1284;82;24.03;2025-04-22
176;461;91;22.38;2025-01-31
177;1494;9;3.48;2025-03-12
178;1192;23;10.46;2025-05-13
179;1140;71;45.1;2025-05-31
180;819;38;39.74;2025-04-16
181;953;19;10.0;2025-06-01
182;1147;27;34.35;2025-05-30
183;125;44;7.98;2025-01-18
184;387;60;1.68;2025-05-12
185;1787;10;30.16;2025-06-07
186;734;55;49.67;2025-05-07
187;10;21;9.94;2025-06-23
188;1728;17;30.1;2025-06-07
189;843;28;6.47;2025-05-05
190;648;98;42.69;2025-06-11
191;1908;53;44.42;2025-02-27
192;653;1;34.06;2025-01-16
193;620;42;38.02;2025-02-28
194;1377;75;3.37;2025-07-03
195;1978;81;7.28;2025-06-15
196;975;13;29.37;2025-05-13
197;1381;74;9.42;2025-01-06
198;1395;71;23.17;2025-06-26
199;538;75;24.93;2025-05-02
200;787;25;20.34;2025-06-14
201;1919;14;43.77;2025-05-01
202;311;40;14.64;2025-05-21
203;1546;35;4.25;2025-04-07
204;49;96;34.62;2025-05-25
205;26;71;19.09;2025-02-21
206;1763;61;37.65;2025-02-25
207;938;99;36.76;2025-06-12
208;1263;44;23.54;2025-01-01
209;763;69;17.1;2025-04-03
210;1804;4;14.04;2025-05-12
211;1428;71;2.47;2025-04-15
212;1059;24;11.16;2025-02-15
213;337;29;21.56;2025-02-08
214;49;85;6.72;2025-05-11
215;82;30;20.78;2025-02-27
216;1260;4;3.51;2025-04-17
217;1818;90;19.04;2025-04-11
218;1169;54;12.63;2025-05-23
219;1955;64;24.51;2025-01-27
220;660;56;7.09;2025-05-11
221;1461;94;39.88;2025-04-14
222;1559;20;35.79;2025-02-22
223;1084;67;2.76;2025-06-25
224;1725;22;12.01;2025-02-03
225;770;3;29.34;2025-04-07
226;1787;86;23.72;2025-01-24
227;888;46;1.62;2025-01-12
228;856;88;29.54;2025-04-24
229;1895;7;2.64;2025-02-03
230;1328;94;16.76;2025-01-21
231;67;15;40.79;2025-03-19
232;383;66;31.88;2025-05-05
233;1088;74;3.52;2025-05-21
234;233;9;18.27;2025-04-01
235;1710;81;41.66;2025-05-29
236;1362;25;38.35;2025-06-19
237;1570;90;9.35;2025-06-07
238;9;58;13.56;2025-05-09
239;380;99;12.09;2025-07-05
240;1700;54;22.11;2025-04-22
241;126;77;9.84;2025-05-03
242;1512;52;37.62;2025-03-01
243;242;63;23.55;2025-04-07
244;174;33;40.18;2025-02-28
245;1433;86;7.35;2025-03-18
246;1353;26;41.95;2025-03-04
247;1242;23;5.96;2025-01-12
248;402;68;38.69;2025-03-23
249;493;54;23.8;2025-05-18
250;1696;83;47.73;2025-01-17
251;1952;48;49.41;2025-04-29
252;1039;98;8.75;2025-05-03
253;1634;67;22.33;2025-05-13
254;1611;42;11.22;2025-06-11
255;1773;3;21.94;2025-03-08
256;1410;71;13.26;2025-01-15
257;490;41;41.09;2025-03-03
258;1927;37;40.0;2025-04-08
259;878;61;40.02;2025-01-17
260;755;40;21.19;2025-06-03
261;826;28;5.2;2025-07-05
262;1174;94;9.1;2025-06-12
263;608;21;15.9;2025-06-18
264;828;28;22.22;2025-05-29
265;1535;75;6.13;2025-03-27
266;834;19;35.8;2025-02-27
267;1741;55;39.36;2025-03-13
268;601;19;19.35;2025-01-23
269;907;100;11.96;2025-03-20
270;1376;56;29.14;2025-06-06
271;209;17;36.88;2025-06-08
272;109;63;49.47;2025-04-26
273;1064;82;4.04;2025-02-15
274;1243;2;34.56;2025-03-04
275;1844;91;26.4;2025-05-13
276;1251;71;44.66;2025-05-13
277;1949;35;28.78;2025-06-29
278;1775;63;38.37;2025-05-23
279;1003;40;28.28;2025-03-14
280;1959;80;26.58;2025-05-30
281;1287;43;17.27;2025-02-03
282;1707;30;20.18;2025-06-01
283;484;15;15.64;2025-01-12
284;667;64;9.04;2025-05-03
285;1079;26;23.23;2025-04-05
286;824;73;2.57;2025-02-08
287;1658;44;18.63;2025-04-22
288;120;80;28.8;2025-06-02
289;206;60;28.22;2025-03-24
290;410;66;6.15;2025-02-10
291;1800;47;4.44;2025-06-15
292;934;95;16.34;2025-02-19
293;439;51;15.75;2025-02-17
294;1975;1;32.93;2025-05-30
295;1559;19;9.41;2025-05-10
296;1243;38;10.01;2025-05-20
297;1032;22;16.79;2025-05-27
298;1399;23;2.24;2025-06-13
